EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
0.07406642,0.042939417,0.04713163,0.040400207,0.13466744,219.72856,285.46704,22.135939,13.639604,623.41016,31.0,1998
0.06732222,0.0,0.06732222,0.06732222,0.06732222,48.215008,0.0,48.215008,48.215008,48.215008,8.0,2003
0.07743225,0.057232518,0.07743225,0.020199737,0.13466477,233.66675,230.21457,233.66675,3.4521668,463.88132,21.0,2011
0.08079253,0.0,0.08079253,0.08079253,0.08079253,89.54462,0.0,89.54462,89.54462,89.54462,10.0,2018
0.077433616,0.023567414,0.077433616,0.053866204,0.10100103,117.5612,69.112595,117.5612,48.448605,186.6738,21.0,2027
0.06059917,0.0269322,0.06059917,0.033666972,0.08753137,65.24694,51.981453,65.24694,13.265487,117.22839,16.0,2038
0.06957673,0.046756145,0.047133245,0.02693363,0.13466334,219.13823,285.637,33.27615,1.4662874,622.67224,29.0,2060
0.06396538,0.043765284,0.06396538,0.020200094,0.107730664,166.58853,166.07567,166.58853,0.51286054,332.6642,17.0,2069
0.090898395,0.023569725,0.090898395,0.06732867,0.11446812,222.4007,173.37326,222.4007,49.027443,395.77396,25.0,2077
0.037033614,0.030300442,0.037033614,0.0067331707,0.067334056,44.803226,44.5576,44.803226,0.2456288,89.360825,9.0,2088
0.0740663,0.0,0.0740663,0.0740663,0.0740663,66.86306,0.0,66.86306,66.86306,66.86306,9.0,2091
0.057233058,0.0033664983,0.057233058,0.05386656,0.060599558,40.976585,7.4235477,40.976585,33.55304,48.400135,15.0,2100
0.089215055,0.050245997,0.10436435,0.013465843,0.13466567,339.93192,284.62424,368.34372,0.2879971,622.7523,51.0,2128
0.0639666,0.057233587,0.0639666,0.006733017,0.12120019,232.3697,232.1126,232.3697,0.25710633,464.4823,17.0,2139
0.12118969,0.006723888,0.12118969,0.1144658,0.12791358,409.06665,128.8484,409.06665,280.21823,537.91504,34.0,2149
